author,clean_comment,likes,published
@Peter-du5zf,People are losing faith in the US dollar. The money printer will go brrrrr to fund the AI infrastructure war against China as well.,292,2025-10-17 08:51:10+00:00
@Jerbear112266,"Gold is not a hedge or an investment it is money silver is money. Everything else is debt slavery! Gold and Silver are not going up in value or price. It’s the dollar that is collapsing and crashing. Inflation is infinite paper digital fiat currency chasing the same finite limited commodities. Gold is the Canary in the coal mine for every collapsing currency throughout history. Only gold silver and copper is money. Everything else is debt slavery! 15 years of 0% interest rates and $25 trillion of fake liquidity dumped into all markets inflating bubbles everywhere. We are in the everything bubble Real Estate is going to crash. Stock market crash more severe than 1929. The bond market is going to crash and the big one is the US dollar is going to crash it's already been crashing. When all the debts collapses all the currency disappears. * A gold 400 ounce bankers bar used to be $8000 today it's 1.5 million. The same thousand ounces of gold buys you the same house in every decade. Paper electronic currency is not money for money to be money. It must be a commodity. Do you think you lost any purchasing power? 37 trillion in bond debt 200 trillion in unfunded liabilities. And the top 10 US banks have 3700 trillion in derivatives. That's 3.7 quadrillion toxic assets. Quote from the Oracle of Omaha Warren Buffett derivatives are the weapons of mass financial destruction!! Bank holiday coming bank runs too, banks are bankrupt and completely insolvent! 2008 bank liquidation still in progress! Not to mention 20 trillion of commercial real estate going into default! 7 trillion of US debt that’s coming up for renewal at higher interest rates, this year! 1.9 more Trillion in deficits this year. Debt ceiling also coming up. Government shut down, monetizing debts debasing the currency and diluting it. We are at the very end of the Keynesian debt based economy experiment. Drumpf is just a puppet to the Federal Reserve Board, military industrial complex, Freemasonry the Monarchy. Above all the Draco Reptilian Empire! Gold is the Canary in the coal mine for every collapsing currency throughout history. Cryptocurrencies will only exacerbate inflation of Fiat currencies!",61,2025-10-17 11:03:47+00:00
@johnserpo9267,"It means a War is coming. During the war, all currencies are worth nothing. All cryptos will be worthless. Only tangible gold has value. This has been the case for centuries. People who have inside information about up coming events (the rich) are buying up the gold that's why the price is going up.",30,2025-10-17 10:46:34+00:00
@horridohobbies,"Over the past 50 years, the US Dollar has been debased to practically nothing. But the world still trades in US Dollars (?!). This makes no sense.",29,2025-10-17 22:45:27+00:00
@armored.angels,"Basically your paper money is worthless without trust... Gold doesn't need trust, shiny is shiny 😂",18,2025-10-19 05:57:08+00:00
@MrTVintro,"If gold was worth that much, *why are they all selling it for that worthless paper money*",16,2025-10-17 08:59:42+00:00
@vlhc4642,"Guess which country is the world's largest gold producer, the world's largest gold importer, and who also restricted gold export for the last 20 years? It's not the country that claim to have the most gold but would never let anyone see them.",11,2025-10-17 10:19:46+00:00
@magdolabarok,u guys didnt say anything useful at least the first 5 mins!!,10,2025-10-17 11:28:41+00:00
@dylancn,It means the economy & fiat currencies are failing & the second great depression is soon also the rise of BRICS,8,2025-10-17 08:12:48+00:00
@cbbbgbbb497,always save as gold instead of shitty dollars,7,2025-10-18 03:01:42+00:00
